DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
20161017;1000;65300,0000000;65430,0000000;65263,0000000;65339,0000000;40
20161017;1005;65301,0000000;65319,0000000;65260,0000000;65294,0000000;418
20161017;1010;65297,0000000;65313,0000000;65290,0000000;65302,0000000;29
20161017;1015;65328,0000000;65328,0000000;65325,0000000;65325,0000000;50
20161017;1020;65336,0000000;65358,0000000;65336,0000000;65355,0000000;37
20161017;1025;65378,0000000;65378,0000000;65378,0000000;65378,0000000;3
20161017;1030;65400,0000000;65438,0000000;65349,0000000;65388,0000000;257
20161017;1035;65398,0000000;65402,0000000;65386,0000000;65386,0000000;78
20161017;1040;65385,0000000;65428,0000000;65385,0000000;65428,0000000;67
20161017;1045;65417,0000000;65426,0000000;65417,0000000;65426,0000000;6
20161017;1050;65417,0000000;65427,0000000;65417,0000000;65426,0000000;12
20161017;1100;65432,0000000;65432,0000000;65428,0000000;65428,0000000;92
20161017;1105;65420,0000000;65420,0000000;65409,0000000;65409,0000000;63
20161017;1110;65450,0000000;65450,0000000;65436,0000000;65436,0000000;3
20161017;1115;65435,0000000;65435,0000000;65430,0000000;65430,0000000;85
20161017;1120;65422,0000000;65444,0000000;65416,0000000;65416,0000000;48
20161017;1125;65420,0000000;65420,0000000;65371,0000000;65375,0000000;112
20161017;1130;65358,0000000;65358,0000000;65350,0000000;65350,0000000;30
20161017;1135;65363,0000000;65363,0000000;65353,0000000;65353,0000000;65
20161017;1140;65386,0000000;65386,0000000;65368,0000000;65374,0000000;107
20161017;1145;65374,0000000;65374,0000000;65362,0000000;65362,0000000;95
20161017;1200;65376,0000000;65379,0000000;65376,0000000;65379,0000000;30
20161017;1210;65343,0000000;65343,0000000;65343,0000000;65343,0000000;5
20161017;1215;65359,0000000;65359,0000000;65359,0000000;65359,0000000;10
20161017;1220;65351,0000000;65351,0000000;65351,0000000;65351,0000000;24
20161017;1225;65351.0000000;65351.0000000;65329.0000000;65333.0000000;12
20161017;1230;65301.0000000;65302.0000000;65300.0000000;65300.0000000;51
20161017;1245;65300.0000000;65300.0000000;65289.0000000;65289.0000000;4
20161017;1250;65296.0000000;65296.0000000;65296.0000000;65296.0000000;1
20161017;1255;65288.0000000;65288.0000000;65288.0000000;65288.0000000;1
20161017;1305;65316.0000000;65316.0000000;65316.0000000;65316.0000000;10
20161017;1315;65290.0000000;65290.0000000;65290.0000000;65290.0000000;2
20161017;1335;65281.0000000;65281.0000000;65274.0000000;65274.0000000;15
20161017;1340;65278.0000000;65278.0000000;65264.0000000;65264.0000000;2
20161017;1345;65200.0000000;65210.0000000;65200.0000000;65210.0000000;14
20161017;1350;65209.0000000;65209.0000000;65200.0000000;65200.0000000;5
20161017;1355;65200.0000000;65200.0000000;65200.0000000;65200.0000000;33
20161017;1405;65204.0000000;65204.0000000;65192.0000000;65192.0000000;24
20161017;1410;65167.0000000;65180.0000000;65165.0000000;65180.0000000;8
20161017;1415;65155.0000000;65155.0000000;65150.0000000;65154.0000000;14
20161017;1420;65136.0000000;65136.0000000;65106.0000000;65106.0000000;18
20161017;1425;65124.0000000;65136.0000000;65124.0000000;65136.0000000;18
20161017;1430;65116.0000000;65116.0000000;65100.0000000;65100.0000000;41
20161017;1440;65094.0000000;65108.0000000;65094.0000000;65108.0000000;15
20161017;1500;65051.0000000;65051.0000000;65000.0000000;65000.0000000;26
20161017;1505;65000.0000000;65018.0000000;65000.0000000;65018.0000000;2
20161017;1520;65025.0000000;65025.0000000;65025.0000000;65025.0000000;1
20161017;1525;65030.0000000;65038.0000000;65030.0000000;65038.0000000;6
20161017;1530;65009.0000000;65009.0000000;64960.0000000;64960.0000000;11
20161017;1545;65004.0000000;65024.0000000;65004.0000000;65024.0000000;57
20161017;1550;65000.0000000;65000.0000000;64974.0000000;64974.0000000;16
20161017;1600;65046.0000000;65061.0000000;65046.0000000;65061.0000000;10
20161017;1605;65093.0000000;65118.0000000;65086.0000000;65096.0000000;117
20161017;1610;65098.0000000;65098.0000000;65098.0000000;65098.0000000;10
20161017;1615;65100.0000000;65118.0000000;65100.0000000;65114.0000000;20
20161017;1630;65074.0000000;65074.0000000;65074.0000000;65074.0000000;1
20161017;1635;65149.0000000;65182.0000000;65124.0000000;65143.0000000;188
20161017;1645;65180.0000000;65222.0000000;65180.0000000;65199.0000000;61
20161017;1650;65185.0000000;65209.0000000;65170.0000000;65203.0000000;23
20161017;1655;65224.0000000;65224.0000000;65208.0000000;65208.0000000;9
20161017;1700;65210.0000000;65215.0000000;65210.0000000;65215.0000000;3
20161017;1705;65146.0000000;65153.0000000;65145.0000000;65150.0000000;47
20161017;1720;65178.0000000;65200.0000000;65178.0000000;65200.0000000;85
20161017;1725;65212.0000000;65219.0000000;65211.0000000;65211.0000000;60
